mode,arm,workload,samples,median_prompt_tps,median_decode_tps,drafted,accepted,acceptance,valid,min_mem_available_gib,max_gtt_gib,max_vram_gib,major_faults_delta,swapin_pages_delta,swapout_pages_delta
seeded-stochastic,iq4pair-rocm-topk-pm4off-n3-pmin01,31497,2,299.0998933115958,21.876965789141707,288,158,0.5486111111111112,True,93.30928421020508,24.95203399658203,0.1603546142578125,94,100,0
seeded-stochastic,iq4pair-rocm-topk-pm4on-n3-pmin01,512,2,241.93744914507408,27.119052476066997,303,151,0.49834983498349833,True,93.32234191894531,24.954944610595703,0.16036605834960938,57,94,0
seeded-stochastic,iq4pair-rocm-topk-pm4on-n3-pmin01,8192,2,360.32175158602575,26.693988705029664,288,156,0.5416666666666666,True,93.32234191894531,24.954944610595703,0.16036605834960938,57,94,0
seeded-stochastic,iq4pair-rocm-topk-pm4on-n3-pmin01,31497,2,298.34759084758025,22.621095673278674,288,158,0.5486111111111112,True,93.32234191894531,24.954944610595703,0.16036605834960938,57,94,0
seeded-stochastic,iq4pair-vulkan-n3-pmin01,512,2,274.6646457156281,21.351548120329593,327,143,0.43730886850152906,True,95.12455749511719,23.783512115478516,0.9484519958496094,95,118,0
seeded-stochastic,iq4pair-vulkan-n3-pmin01,8192,2,307.74050381022676,21.93454677819861,298,154,0.5167785234899329,True,95.12455749511719,23.783512115478516,0.9484519958496094,95,118,0
seeded-stochastic,iq4pair-vulkan-n3-pmin01,31497,2,256.8089510233324,21.24654041387224,272,162,0.5955882352941176,True,95.12455749511719,23.783512115478516,0.9484519958496094,95,118,0
seeded-stochastic,prod-vulkan-iq4draft-n3-pmin01,512,2,280.3082930677732,28.687351217581785,261,165,0.632183908045977,True,95.51911544799805,24.157825469970703,0.9890022277832031,980,1866,0
seeded-stochastic,prod-vulkan-iq4draft-n3-pmin01,8192,2,306.588277102932,26.388320483061605,270,163,0.6037037037037037,True,95.51911544799805,24.157825469970703,0.9890022277832031,980,1866,0
seeded-stochastic,prod-vulkan-iq4draft-n3-pmin01,31497,2,258.0601056839838,19.585785922191743,324,145,0.44753086419753085,True,95.51911544799805,24.157825469970703,0.9890022277832031,980,1866,0
seeded-stochastic,prod-vulkan-iq4draft-n7-pmin01,512,2,275.0089385387667,21.95634178306309,630,160,0.25396825396825395,True,94.81225204467773,24.739612579345703,0.9880294799804688,280,368,0
seeded-stochastic,prod-vulkan-iq4draft-n7-pmin01,8192,2,303.33421752536407,27.07773762200469,472,184,0.3898305084745763,True,94.81225204467773,24.739612579345703,0.9880294799804688,280,368,0
seeded-stochastic,prod-vulkan-iq4draft-n7-pmin01,31497,2,255.31732324172984,18.250101260596207,578,170,0.29411764705882354,True,94.81225204467773,24.739612579345703,0.9880294799804688,280,368,0
seeded-stochastic,prod-vulkan-q8-n3-pmin01,512,2,277.5199868830514,26.565487581159275,269,162,0.6022304832713755,True,94.64466094970703,25.106006622314453,0.9871826171875,175,222,0
seeded-stochastic,prod-vulkan-q8-n3-pmin01,8192,2,304.8881169426832,26.989241544262825,258,167,0.6472868217054264,True,94.64466094970703,25.106006622314453,0.9871826171875,175,222,0
seeded-stochastic,prod-vulkan-q8-n3-pmin01,31497,2,257.19475129431805,18.673207750353676,324,144,0.4444444444444444,True,94.64466094970703,25.106006622314453,0.9871826171875,175,222,0
seeded-stochastic,prod-vulkan-q8-n7,512,2,272.5170402312364,16.438958090139874,165,102,0.6181818181818182,True,94.06871795654297,25.700489044189453,0.9901809692382812,5630,8109,0
seeded-stochastic,prod-vulkan-q8-n7,8192,2,304.7209954549012,18.30728109230474,127,120,0.9448818897637795,True,94.06871795654297,25.700489044189453,0.9901809692382812,5630,8109,0
seeded-stochastic,prod-vulkan-q8-n7,31497,2,255.6685891226292,17.44273585045518,125,124,0.992,True,94.06871795654297,25.700489044189453,0.9901809692382812,5630,8109,0
seeded-stochastic,prod-vulkan-q8-n7-pmin01,512,2,274.9603428380462,21.80230674274202,640,159,0.2484375,True,94.2859001159668,25.700305938720703,0.9901504516601562,352,412,0
seeded-stochastic,prod-vulkan-q8-n7-pmin01,8192,2,302.3398465228687,24.09582465830391,526,176,0.33460076045627374,True,94.2859001159668,25.700305938720703,0.9901504516601562,352,412,0
seeded-stochastic,prod-vulkan-q8-n7-pmin01,31497,2,254.78713045588083,15.203172186597905,678,155,0.22861356932153393,True,94.2859001159668,25.700305938720703,0.9901504516601562,352,412,0
